"id","name","desc","include","level_1_ID","createdBy","updatedBy","created_at","updated_at"
2761,Incident Summary,"The review summarizes security incidents, their causes, and lessons learned to improve ISMS policies.

Example: A monthly report shows an increase in failed security tests, leading to a recommendation for policy updates.

Evidences to attach:
1. A copy of the monthly report that includes incident details.
2. A copy of the corrective action plan or a summary of recommended actions.",1,1000,1,1,"2025-03-19 11:59:44.364","2025-03-19 11:59:44.364"
2762,ISMS Performance Indicators,"The review captures key performance indicators such as incident trends, risk assessments, and compliance status.

Example: A performance report highlights recurring issues, prompting policy adjustments.

Evidences to attach:
1. A copy of the monthly performance report showing key metrics.
2. A document that lists any actions taken or changes made based on the report.",1,1001,1,1,"2025-03-19 11:59:44.392","2025-03-19 11:59:44.392"
2763,Audit Findings Documentation,"The review documents audit findings, non-conformities, and any compliance gaps.

Example: A recent audit report highlights areas needing improvement.

Evidences to attach:
1. A copy of the latest audit report summarizing the findings.
2. Documents showing how the identified issues were resolved.",1,1002,1,1,"2025-03-19 11:59:44.420","2025-03-19 11:59:44.420"
2764,Record of Management Decisions,"All management decisions are formally recorded, including policy changes and corrective actions.

Example: The ISMS Manager records corrective actions assigned to IT security teams.

Evidences to attach:
1. The action tracking log or spreadsheet listing the decisions and deadlines.
2. Meeting notes or emails that document these decisions.",1,1003,1,1,"2025-03-19 11:59:44.485","2025-03-19 11:59:44.485"
2765,Assigned Actions and Follow-ups,"Each decision includes assigned responsibilities, deadlines, and follow-up measures.

Example: The meeting ends with clear action items and timelines for each team.

Evidences to attach:
1. A log or spreadsheet that lists tasks, deadlines, and follow-up actions.
2. Meeting notes or emails that confirm these assignments.",1,1003,1,1,"2025-03-19 11:59:44.514","2025-03-19 11:59:44.514"
2766,Review Inputs for Audits,"Management reviews serve as key inputs for internal and external audits.

Example: External auditors review the management review records to verify ISMS compliance.

Evidences to attach:
1. A copy of the most recent ISO 27001 audit report.
2. The internal review summary document used during the audit.",1,1004,1,1,"2025-03-19 11:59:44.559","2025-03-19 11:59:44.559"
2767,Alignment with ISO 27001,"The review documentation aligns with ISO 27001 Clause 9.3, showing the ISMS’s effectiveness.

Example: External auditors confirm compliance by reviewing the management review records.

Evidences to attach:
1. A copy of the ISO 27001 audit report.
2. A summary document of the ISMS review process that meets ISO 27001 requirements.",1,1004,1,1,"2025-03-19 11:59:44.582","2025-03-19 11:59:44.582"
2768,Security Requirements Engineering,"Defines security controls for cyber-physical systems, including TPM-based measured boot and network encryption.

Example: Implementing TPM-based measured boot ensures firmware integrity validation before system startup.

Evidences to attach:
1. A screenshot of the system security settings page showing TPM status.
2. A printed checklist or simple certificate confirming that startup security procedures have been completed.",1,1005,1,1,"2025-03-20 06:46:33.060","2025-03-20 06:46:33.060"
2769,Quantum-Ready Infrastructure,"Implements hybrid post-quantum cryptography using CRYSTALS-Kyber and ECDH for forward secrecy.

Example: Cryptographic configurations are set to meet new standards for quantum resistance.

Evidences to attach:
1. A screenshot of the cryptographic configuration details in plain language.
2. A checklist or certificate confirming that the cryptographic standards have been met.",1,1005,1,1,"2025-03-20 06:46:33.105","2025-03-20 06:46:33.105"
2770,Secure Environment Build,"Hardens developer workstations with minimal OS images and enforces strict dependency management.

Example: Workstation configurations are set to a secure baseline with minimal software.

Evidences to attach:
1. A screenshot of the workstation configuration settings (e.g., OS version, security settings).
2. Documentation or a checklist confirming that a secure OS image was installed.",1,1005,1,1,"2025-03-20 06:46:33.128","2025-03-20 06:46:33.128"
2771,Memory-Safe Paradigms,"Migrates legacy code to Rust and enforces C++ interoperability using safe bindings.

Example: Using Rust’s built-in safety checks prevents memory corruption vulnerabilities like buffer overflows.

Evidences to attach:
1. A plain language summary report from a code scanning tool that confirms memory safety.
2. A certificate or record of completion for secure coding training.",1,1006,1,1,"2025-03-20 06:46:33.170","2025-03-20 06:46:33.170"
2772,Intelligent SAST/DAST,"Automates security code analysis with Semgrep for detecting SQL injection and OWASP vulnerabilities.

Example: Code analysis reports indicate that known vulnerabilities have been addressed.

Evidences to attach:
1. A summary report (in plain language) from the security code analysis tool.
2. A certificate or checklist confirming that secure coding practices were followed during development.",1,1006,1,1,"2025-03-20 06:46:33.193","2025-03-20 06:46:33.193"
2773,Secure Coding Standards,"Applies MISRA and CERT coding guidelines to ensure security and compliance.

Example: Adhering to coding standards helps prevent security flaws in software.

Evidences to attach:
1. A checklist confirming that coding standards were met, written in plain language.
2. A screenshot from a code review tool showing compliance with the standards.",1,1006,1,1,"2025-03-20 06:46:33.212","2025-03-20 06:46:33.212"
2774,Immutable Infrastructure,"Enforces read-only system mounts using eBPF runtime policies to prevent unauthorized modifications.

Example: Deployment configurations are set to be unchangeable once live.

Evidences to attach:
1. A screenshot showing the read-only configuration in the deployment settings.
2. A printed report or checklist confirming that security policies are enforced during deployment.",1,1007,1,1,"2025-03-20 06:46:33.250","2025-03-20 06:46:33.250"
2775,Sigstore Cosign Integration,"Digitally signs software artifacts to establish cryptographic build provenance.

Example: Digital signatures ensure that software artifacts have not been tampered with.

Evidences to attach:
1. A certificate or screenshot from the build process showing the digital signature.
2. A checklist confirming that artifact signing has been successfully applied.",1,1007,1,1,"2025-03-20 06:46:33.273","2025-03-20 06:46:33.273"
2776,Active Defense Mechanisms,"Deploys deception technology to detect and mitigate insider threats.

Example: Active monitoring alerts are used to flag unauthorized access or suspicious activity.

Evidences to attach:
1. A screenshot showing active monitoring or alert logs in a user-friendly format.
2. A checklist or simple report confirming that the defense measures are active and monitored regularly.",1,1007,1,1,"2025-03-20 06:46:33.296","2025-03-20 06:46:33.296"
2777,Predictive Vulnerability Management,"Uses ML-based triage to prioritize vulnerabilities based on exploitability and business impact.

Example: AI-driven risk scores help focus attention on the most critical vulnerabilities.

Evidences to attach:
1. A plain language report summarizing the prioritized vulnerabilities.
2. A screenshot of the risk assessment dashboard used to review vulnerability status.",1,1008,1,1,"2025-03-20 06:46:33.344","2025-03-20 06:46:33.344"
2778,Continuous Attestation,"Implements the In-Toto framework to cryptographically track software development activities.

Example: Continuous attestation verifies that all security steps have been followed throughout development.

Evidences to attach:
1. A summary report or checklist confirming that continuous attestation measures are in place.
2. A screenshot or certificate showing successful attestation verification in a user-friendly format.",1,1008,1,1,"2025-03-20 06:46:33.367","2025-03-20 06:46:33.367"
2779,Access Control,"Requirement: Suppliers must implement role-based access controls (RBAC) and multi-factor authentication (MFA).

Example: Suppliers providing cloud storage services must use AES-256 encryption for stored data.

Evidences to Attach:
1) A supplier-provided security policy that shows how RBAC and MFA are implemented (e.g., roles defined, MFA procedures).
2) A copy or summary of an audit/compliance report confirming encryption standards (e.g., AES-256).",1,1009,1,1,"2025-03-20 08:06:14.256","2025-03-20 08:06:14.256"
2780,Data Protection,"Requirement: Suppliers must encrypt sensitive data at rest and in transit to protect against unauthorized access.

Example: Suppliers providing cloud storage services must use AES-256 encryption for stored data.

Evidences to Attach:
1) A supplier’s data protection policy or procedure outlining how data is encrypted at rest and in transit.
2) An audit or compliance report verifying the supplier’s encryption methods (e.g., AES-256).",1,1009,1,1,"2025-03-20 08:06:14.291","2025-03-20 08:06:14.291"
2781,Incident Reporting and Response,"Requirement: Suppliers must immediately report security incidents following predefined procedures.

Example: Suppliers providing cloud storage services must use AES-256 encryption for stored data.

Evidences to Attach:
1) A supplier’s incident response policy or procedure describing how security incidents are reported and handled.
2) An incident log excerpt or compliance report demonstrating adherence to these reporting procedures.",1,1009,1,1,"2025-03-20 08:06:14.331","2025-03-20 08:06:14.331"
2782,Compliance with Laws and Standards,"Requirement: Suppliers must comply with industry regulations such as ISO 27001, GDPR, and HIPAA.

Example: Suppliers providing cloud storage services must use AES-256 encryption for stored data.

Evidences to Attach:
1) Supplier’s compliance certificates (e.g., ISO 27001) or documentation proving adherence to GDPR/HIPAA requirements.
2) An audit or certification report verifying the supplier meets these regulatory standards.",1,1009,1,1,"2025-03-20 08:06:14.351","2025-03-20 08:06:14.351"
2783,Initial Risk Assessment,"Requirement: Potential suppliers must undergo a security risk assessment before contract approval.

Example: A third-party payment processor must provide a SOC 2 Type II report before being onboarded.

Evidences to Attach:
1) A completed supplier security questionnaire or checklist capturing the supplier’s risk profile.
2) Any certification or validation report (e.g., SOC 2 Type II) confirming the supplier meets required security standards.",1,1010,1,1,"2025-03-20 08:06:14.386","2025-03-20 08:06:14.386"
2784,Security Questionnaires,"Requirement: Suppliers must complete a questionnaire covering their security policies, certifications, and past incidents.

Example: A third-party payment processor must provide a SOC 2 Type II report before being onboarded.

Evidences to Attach:
1) A filled-out supplier security questionnaire detailing their policies and any previous security incidents.
2) A validation report confirming certifications (e.g., SOC 2 Type II).",1,1010,1,1,"2025-03-20 08:06:14.409","2025-03-20 08:06:14.409"
2785,Certification Review,"Requirement: Suppliers must provide relevant certifications such as ISO 27001, SOC 2, or NIST compliance.

Example: A third-party payment processor must provide a SOC 2 Type II report before being onboarded.

Evidences to Attach:
1) A completed supplier security questionnaire (if applicable) alongside copies of relevant certifications.
2) A certification validation report verifying the authenticity and scope of those certifications.",1,1010,1,1,"2025-03-20 08:06:14.430","2025-03-20 08:06:14.430"
2786,Data Protection Agreements (DPAs),"Requirement: All supplier contracts must include legally binding data protection clauses.

Example: A supplier handling customer PII must sign a DPA ensuring compliance with GDPR data handling requirements.

Evidences to Attach:
1) A signed supplier contract (or relevant sections) showing the data protection clauses.
2) An audit or compliance report confirming adherence to the DPA terms.",1,1011,1,1,"2025-03-20 08:06:14.472","2025-03-20 08:06:14.472"
2787,Security Audit Rights,"Requirement: Contracts should allow periodic security audits to verify supplier compliance.

Example: A supplier handling customer PII must sign a DPA ensuring compliance with GDPR data handling requirements.

Evidences to Attach:
1) A signed contract clause explicitly granting audit rights.
2) A record of any completed audits or an audit schedule showing the supplier’s compliance checks.",1,1011,1,1,"2025-03-20 08:06:14.496","2025-03-20 08:06:14.496"
2788,Service Level Agreements (SLAs),"Requirement: SLAs must define security expectations, response times, and incident resolution procedures.

Example: A supplier handling customer PII must sign a DPA ensuring compliance with GDPR data handling requirements.

Evidences to Attach:
1) A signed SLA that outlines security response times and incident resolution procedures.
2) A compliance or audit report confirming the supplier meets the agreed-upon SLA terms.",1,1011,1,1,"2025-03-20 08:06:14.517","2025-03-20 08:06:14.517"
2789,Ongoing Security Assessments,"Requirement: Periodic reviews of supplier security posture should be conducted using audits and KPIs.

Example: Supplier security KPIs include average incident response times and compliance audit scores.

Evidences to Attach:
1) A supplier security audit report summarizing recent findings and corrective actions.
2) A KPI dashboard or metrics report demonstrating ongoing security assessments.",1,1012,1,1,"2025-03-20 08:06:14.552","2025-03-20 08:06:14.552"
2790,Performance Metrics,"Requirement: Tracking compliance rates, incident reports, and security performance for all suppliers.

Example: Supplier security KPIs include average incident response times and compliance audit scores.

Evidences to Attach:
1) A supplier security performance report showing compliance rates and incident statistics.
2) A KPI dashboard indicating trends in response times and audit results.",1,1012,1,1,"2025-03-20 08:06:14.582","2025-03-20 08:06:14.582"
2791,Continuous Improvement,"Requirement: Using feedback from audits and risk assessments to enhance supplier security policies.

Example: Supplier security KPIs include average incident response times and compliance audit scores.

Evidences to Attach:
1) Recent audit findings or risk assessment summaries indicating improvement areas.
2) A policy update log or change record showing how feedback was incorporated to enhance supplier security.",1,1012,1,1,"2025-03-20 08:06:14.603","2025-03-20 08:06:14.603"
2792,Multi-Factor Authentication,"Requirement: All network users must authenticate using multi-factor authentication (MFA).

Example: Employees must use both a password and a one-time code (sent via SMS or generated by an app) when logging in.

Evidences to Attach:
1) A copy or screenshot of the MFA policy from the IT department.
2) Enrollment records or confirmation screenshots showing MFA activation.",1,1013,1,1,"2025-03-20 08:45:45.646","2025-03-20 08:45:45.646"
2793,Firewall Rules and Logs,"Requirement: Firewall rules must be documented and regularly reviewed for effectiveness.

Example: A documented rule may include blocking inbound traffic from unauthorized IP addresses.

Evidences to Attach:
1) A screenshot or printout of the current firewall configuration.
2) A change log or report indicating recent firewall rule reviews and updates.",1,1014,1,1,"2025-03-20 08:45:45.689","2025-03-20 08:45:45.689"
2794,Incident Reporting Procedure,"Requirement: All network security incidents must be reported immediately using the established procedure.

Example: In case of a detected intrusion, employees should follow the incident reporting steps as described in the policy.

Evidences to Attach:
1) A copy of the incident reporting procedure document.
2) An example incident report or summary (with sensitive data redacted).",1,1015,1,1,"2025-03-20 08:45:45.720","2025-03-20 08:45:45.720"
2795,Patch Update Logs,"Requirement: Logs of software updates and patch applications must be maintained for all critical network devices.

Example: Regular update logs for routers, switches, and firewalls that document recent patch installations.

Evidences to Attach:
1) A screenshot or copy of recent patch update logs.
2) Documentation or schedule confirming the patch management process.",1,1016,1,1,"2025-03-20 08:45:45.766","2025-03-20 08:45:45.766"
2796,Role-Based Access Control (RBAC),"Restricts user permissions based on job roles, ensuring least-privilege access.

Example: Ensuring that administrator accounts require hardware-based authentication tokens.

Evidences to attach:
1) Screenshot of identity provider enforcing MFA
2) Policy document outlining RBAC for privileged access",1,1017,1,1,"2025-03-20 08:45:45.800","2025-03-20 08:45:45.800"
2797,Privileged Access Management (PAM),"Manages and monitors access to high-risk systems with additional controls.

Example: Ensuring that administrator accounts require hardware-based authentication tokens.

Evidences to attach:
1) Screenshot of identity provider enforcing MFA
2) Policy document outlining RBAC for privileged access",1,1017,1,1,"2025-03-20 08:45:45.825","2025-03-20 08:45:45.825"
2798,Next-Generation Firewalls (NGFW),"Uses deep packet inspection and application filtering to block unauthorized traffic.

Example: Deploying AI-based detection for identifying unusual traffic spikes before they become attacks.

Evidences to attach:
1) Firewall log file showing blocked IP addresses
2) Network monitoring dashboard screenshot",1,1018,1,1,"2025-03-20 08:45:45.857","2025-03-20 08:45:45.857"
2799,Intrusion Detection and Prevention Systems (IDPS),"Monitors and blocks malicious network activities in real-time.

Example: Deploying AI-based detection for identifying unusual traffic spikes before they become attacks.

Evidences to attach:
1) Firewall log file showing blocked IP addresses
2) Network monitoring dashboard screenshot",1,1018,1,1,"2025-03-20 08:45:45.884","2025-03-20 08:45:45.884"
2800,DDoS Protection,"Implements network defenses against volumetric attacks targeting availability.

Example: Deploying AI-based detection for identifying unusual traffic spikes before they become attacks.

Evidences to attach:
1) Firewall log file showing blocked IP addresses
2) Network monitoring dashboard screenshot",1,1018,1,1,"2025-03-20 08:45:45.918","2025-03-20 08:45:45.918"
2801,Chief Information Security Officer (CISO),"""Ensures compliance, risk management, and security governance in cloud operations.

Example: The CISO reviews security audits and signs off on reports to ensure ISO 27001 compliance.

Evidences to attach:
1) A signed quarterly security audit report
2) A document showing the CISO’s approval""",1,1019,1,1,"2025-03-20 09:09:01.293","2025-03-20 09:09:01.293"
2802,Zero Trust and Micro-Segmentation,"""Implements strict access checks for every connection within the cloud environment.

Example: Every cloud access request must pass multi-factor authentication (MFA) and meet compliance.

Evidences to attach:
1) A screenshot of access logs showing zero-trust checks
2) A file showing how the network is divided (micro-segmentation)""",1,1020,1,1,"2025-03-20 09:09:01.343","2025-03-20 09:09:01.343"
2803,Security Information and Event Management (SIEM),"""Collects cloud security logs, detects unusual events, and sends alerts.

Example: The system sends alerts when there are several failed login attempts from unknown locations.

Evidences to attach:
1) A screenshot or copy of alert logs showing these events
2) An incident ticket that shows how an alert was handled""",1,1021,1,1,"2025-03-20 09:09:01.417","2025-03-20 09:09:01.417"
2804,Role-Based Access Control (RBAC),"""Ensures users only get the permissions needed for their job.

Example: A finance team member should not access developer cloud instances.

Evidences to attach:
1) A screenshot showing user role assignments
2) A document explaining the rules for user permissions""",1,1022,1,1,"2025-03-20 09:09:01.497","2025-03-20 09:09:01.497"
2805,ISO 27001 and GDPR Compliance,"""Confirms that cloud security meets ISO 27001, GDPR, and other standards.

Example: The organization completes audits to show compliance with data protection laws.

Evidences to attach:
1) A report showing GDPR audit results
2) A copy of the ISO 27001 certificate""",1,1023,1,1,"2025-03-20 09:09:01.539","2025-03-20 09:09:01.539"
2806,AES-256 Encryption for Data at Rest,"""All sensitive cloud data must be encrypted using AES-256.

Example: Database backups are encrypted before they are stored in the cloud.

Evidences to attach:
1) A screenshot showing that the database is encrypted
2) A file showing how encryption keys are managed (for example, from AWS KMS or Azure Key Vault)""",1,1024,1,1,"2025-03-20 09:09:01.594","2025-03-20 09:09:01.594"
2807,Information Security Manager / ISMS Team," Oversees the program, coordinates assessments, and reports remediation status.

Example: The ISMS Team schedules quarterly scans and presents a summary report to leadership.

Evidences to attach:
1) A copy of meeting minutes or leadership sign-off confirming the scan schedule.
2) A clear screenshot showing the scanning tool’s schedule.",1,1025,1,1,"2025-03-20 09:30:59.405","2025-03-20 09:30:59.405"
2808,"Senior Management (CTO, CISO, etc.)"," Ensures remediation is prioritized and resources allocated.

Example: The CISO authorizes urgent patching tasks outside normal schedules.

Evidences to attach:
1) The approved budget document or purchase order for security tools.
2) An email showing expedited patch instructions.",1,1025,1,1,"2025-03-20 09:30:59.433","2025-03-20 09:30:59.433"
2809,IT Operations / System Owners," Conduct scans, maintain systems, and schedule timely remediation.

Example: A system owner schedules downtime to deploy critical OS patches.

Evidences to attach:
1) Patch deployment logs.
2) A screenshot of the system maintenance schedule.",1,1026,1,1,"2025-03-20 09:30:59.461","2025-03-20 09:30:59.461"
2810,Development Teams," Fix code-level vulnerabilities and follow secure coding practices.

Example: Developers update code to prevent SQL injection in a web form.

Evidences to attach:
1) Code commit logs referencing the security fix.
2) A screenshot of SAST results showing the fix.",1,1026,1,1,"2025-03-20 09:30:59.480","2025-03-20 09:30:59.480"
2811,Employees and End Users," Report suspected vulnerabilities to IT/security teams.

Example: An employee notices a misconfiguration on their workstation and alerts IT.

Evidences to attach:
1) A copy of the security incident ticket.
2) A screenshot of the user-submitted email with details.",1,1026,1,1,"2025-03-20 09:30:59.506","2025-03-20 09:30:59.506"
2812,Third Parties," Coordinate with the organization to patch vendor-managed systems.

Example: A SaaS provider shares an external penetration test report.

Evidences to attach:
1) The signed vendor security agreement.
2) The external penetration test summary report.",1,1026,1,1,"2025-03-20 09:30:59.526","2025-03-20 09:30:59.526"
2813,Approved scanning tools," Deploy scanners on servers, networks, and applications at defined intervals.

Example: Weekly Nessus or Qualys scans on production systems.

Evidences to attach:
1) The scanner configuration file.
2) A scan report summarizing detected vulnerabilities.",1,1027,1,1,"2025-03-20 09:30:59.567","2025-03-20 09:30:59.567"
2814,Authenticated scans," Conduct scans using valid credentials to reveal deeper issues.

Example: Use domain admin credentials to detect hidden misconfigurations.

Evidences to attach:
1) Logs showing credential use during scans.
2) A post-scan report highlighting misconfiguration findings.",1,1027,1,1,"2025-03-20 09:30:59.599","2025-03-20 09:30:59.599"
2815,Annual third-party penetration tests," External experts perform tests on critical systems.

Example: A third-party conducts a penetration test on key web applications.

Evidences to attach:
1) The signed contract with the penetration testing vendor.
2) The detailed final penetration test report.",1,1028,1,1,"2025-03-20 09:30:59.625","2025-03-20 09:30:59.625"
2816,Application security testing (SAST/DAST)," Integrate automated code and runtime tests into the development lifecycle.

Example: SAST scans run in CI/CD pipelines to catch vulnerabilities early.

Evidences to attach:
1) CI/CD pipeline logs showing SAST/DAST scan steps.
2) Screenshots from dynamic testing tools.",1,1028,1,1,"2025-03-20 09:30:59.650","2025-03-20 09:30:59.650"
2817,External threat intelligence sources," Subscribe to vendor advisories, CERT bulletins, and MITRE CVE notifications.

Example: Daily vulnerability bulletins are received and cross-referenced with asset inventory.

Evidences to attach:
1) Subscription logs or sample advisory emails.
2) An internal tracker referencing CVEs.",1,1029,1,1,"2025-03-20 09:30:59.678","2025-03-20 09:30:59.678"
2818,Active exploitation assessment," Prioritize vulnerabilities with known public exploits.

Example: Immediately patch a critical RCE once an exploit is released.

Evidences to attach:
1) A screenshot or link to a proof-of-concept exploit code.
2) Rapid patch deployment logs.",1,1029,1,1,"2025-03-20 09:30:59.698","2025-03-20 09:30:59.698"
2819,Comprehensive inventory," Ensure all in-scope assets are documented.

Example: A CMDB that auto-updates with every new server provision.

Evidences to attach:
1) An exported CMDB asset list.
2) Discovery scan logs showing newly found hosts.",1,1030,1,1,"2025-03-20 09:30:59.723","2025-03-20 09:30:59.723"
2820,Include “shadow IT”," Identify any unapproved or rogue systems.

Example: Network scans reveal unauthorized virtual machines.

Evidences to attach:
1) Network scan results.
2) A remediation plan or takedown notice for unauthorized hosts.",1,1030,1,1,"2025-03-20 09:30:59.745","2025-03-20 09:30:59.745"
2821,Contractual security requirements," Enforce security scanning and reporting obligations on vendors.

Example: SLA requires critical issues to be patched within 7 days.

Evidences to attach:
1) An excerpt of the SLA clause.
2) Documents confirming vendor patch timelines.",1,1031,1,1,"2025-03-20 09:30:59.770","2025-03-20 09:30:59.770"
2822,Joint assessments," Collaborate with external providers to test security.

Example: Conduct a combined penetration test with a SaaS vendor.

Evidences to attach:
1) Shared test results.
2) Meeting minutes summarizing remediation actions.",1,1031,1,1,"2025-03-20 09:30:59.789","2025-03-20 09:30:59.789"
2823,CVSS-based rating," Assign numerical CVSS scores to vulnerabilities.

Example: A vulnerability with a CVSS score of 9.8 is considered Critical.

Evidences to attach:
1) A screenshot of a CVSS calculator output.
2) The internal severity classification guidelines.",1,1032,1,1,"2025-03-20 09:30:59.822","2025-03-20 09:30:59.822"
2824,Classification tiers," Divide vulnerabilities into Critical, High, Medium, and Low categories.

Example: High vulnerabilities score between 7.0 and 8.9.

Evidences to attach:
1) A remediation policy chart.
2) An SOP describing severity-based SLA response times.",1,1032,1,1,"2025-03-20 09:30:59.845","2025-03-20 09:30:59.845"
2825,Likelihood of exploitation," Check for publicly available exploits or active threat campaigns.

Example: Prioritize a vulnerability that has an active Metasploit module.

Evidences to attach:
1) A link or screenshot of a Metasploit reference.
2) A security bulletin from a recognized threat intel provider.",1,1033,1,1,"2025-03-20 09:30:59.868","2025-03-20 09:30:59.868"
2826,Network exposure," Assess the exposure of assets (external vs. internal).

Example: Internet-facing applications are patched faster due to higher risk.

Evidences to attach:
1) A snippet of the firewall configuration.
2) A network diagram showing externally accessible applications.",1,1033,1,1,"2025-03-20 09:30:59.917","2025-03-20 09:30:59.917"
